Ozone Solar.R Wind Temp Month Day
24 238 10.3 68 9 19
13 137 10.3 76 6 20
NA 47 10.3 73 6 27
39 83 6.9 81 8 1
NA 291 14.9 91 7 14
78 NA 6.9 86 8 4
36 118 8 72 5 2
108 223 8 85 7 25
30 193 6.9 70 9 26
29 127 9.7 82 6 7
NA 137 11.5 86 8 11
9 24 13.8 81 8 2
NA 194 8.6 69 5 10
71 291 13.8 90 6 9
13 238 12.6 64 9 21
115 223 5.7 79 5 30
41 190 7.4 67 5 1
NA 139 8.6 82 7 11
16 256 9.7 69 5 12
12 149 12.6 74 5 3
14 274 10.9 68 5 14
65 157 9.7 80 8 14
NA 153 5.7 88 8 27
14 334 11.5 64 5 16
79 187 5.1 87 7 19
135 269 4.1 84 7 1
14 20 16.6 63 9 25
66 NA 4.6 87 8 6
45 212 9.7 79 8 24
85 188 6.3 94 8 31
NA 31 14.9 77 6 29
28 273 11.5 82 8 13
NA 286 8.6 78 6 1
NA 66 16.6 57 5 25
NA 220 8.6 85 6 5
44 192 11.5 86 8 12
23 14 9.2 71 9 22
46 237 6.9 78 9 16
8 19 20.1 61 5 9
NA NA 14.3 56 5 5
61 285 6.3 84 7 18
NA 258 9.7 81 7 22
34 307 12 66 5 17
31 244 10.9 78 8 19
NA 264 14.3 79 6 6
14 191 14.3 75 9 28
21 230 10.9 75 9 9
40 314 10.9 83 7 6
44 190 10.3 78 8 20
11 290 9.2 66 5 13
16 77 7.4 82 8 3
NA 64 11.5 79 8 15
20 37 9.2 65 6 18
27 175 14.9 81 7 13
NA 135 8 75 6 25
