id;fecha;grupo;lote;produccion;recursos;tiempo_respuesta;eficiencia;publicidad;ventas;presion;tiempo_produccion;calidad;nivel
1;2023-01-01;B;4;364;277.7;5.79;0.847;63.5;106.36;2.06;4.4;84.8;alto
2;2023-01-02;A;1;433.5;389.9;5.03;0.778;80.4;113.49;2.41;4;85.4;alto
3;2023-01-03;A;3;548.5;98.1;4.56;0.828;102;136.44;2.06;4.7;78.5;bajo
4;2023-01-04;C;4;462.4;110.4;13.93;0.928;98.3;126.15;1.67;7.2;72.6;bajo
5;2023-01-05;C;3;443.8;214.6;12.83;0.916;73.4;113.35;2.18;5.3;87.2;alto
6;2023-01-06;B;5;465.6;167.3;2.83;0.882;73.7;109.37;2.36;6.7;87.8;alto
7;2023-01-07;A;4;509;262.2;6.17;0.727;73.1;107.91;1.79;3.4;79.9;bajo
8;2023-01-08;C;4;659.9;65.8;10.29;1.261;58.6;87.56;2.44;4.1;87.7;alto
9;2023-01-09;A;4;491.1;435.5;6.8;1.041;85;110.89;1.96;5.9;82.8;medio
10;2023-01-10;A;1;608.1;158.1;7.37;0.832;83.1;120.03;1.56;5;79.9;bajo
11;2023-01-11;C;2;563.1;319.4;3.7;1.227;79.1;106.81;2.13;2.8;85;alto
12;2023-01-12;A;3;488.6;489.5;3.94;0.98;74.1;103.95;2.06;15.1;76.6;bajo
13;2023-01-13;A;4;346.7;117.5;8.69;1.025;55.9;95.54;3.25;9.1;84;medio
14;2023-01-14;A;3;447.9;53.5;6.43;1.171;81.6;119.86;2.25;6;82.3;medio
15;2023-01-15;B;1;451;124.9;6.08;1.089;81.6;113.81;2.71;3.4;85;alto
16;2023-01-16;C;5;504.7;190.2;13.53;0.787;65.5;106.55;2.3;2.2;83;medio
17;2023-01-17;B;5;630;152.5;8.31;0.893;89.8;115.54;2.21;5.3;82.7;medio
18;2023-01-18;B;2;729.3;190.9;3.61;1.271;82.8;121.26;1.95;2.5;86.9;alto
19;2023-01-19;B;3;654.8;356.8;4.66;0.813;77.3;115.65;1.75;5.5;83;medio
20;2023-01-20;C;5;486.7;165.2;5.63;1.15;63.7;98.29;2.73;3.8;84.9;alto
21;2023-01-21;C;1;324.3;250;4.16;0.975;80.7;116.09;3.29;6;84.3;alto
22;2023-01-22;A;4;461.1;260.6;11.69;0.785;54.1;99.31;2.66;3.1;83.7;medio
23;2023-01-23;A;2;508.9;283;3.18;0.823;77.5;106.99;2.71;5.3;78.3;bajo
24;2023-01-24;C;4;584.5;87.9;4.19;1.105;80.5;109.94;2.49;5.9;79.4;bajo
25;2023-01-25;A;5;596.3;103.7;7.11;0.783;69.3;105.59;2.98;5.7;86.1;alto
26;2023-01-26;A;5;568.4;29.8;10.04;0.949;79.5;111.49;2.72;3.9;84.1;medio
27;2023-01-27;A;5;360.5;120.6;23.07;0.971;62.7;98.92;1.65;4;79.8;bajo
28;2023-01-28;A;5;585;197.9;6.45;1.074;62.4;103.14;1.58;16.9;76.7;bajo
29;2023-01-29;B;1;455.3;225.2;6.06;0.851;78.6;113.97;2.4;2.4;80.6;medio
30;2023-01-30;B;2;517.5;85.3;5.1;0.978;69.9;113.54;1.99;1.4;83.9;medio
31;2023-01-31;C;1;507.5;306.4;2.75;0.799;78.4;107.6;2.8;10;78.1;bajo
32;2023-02-01;C;2;542.8;143.3;10.6;1.215;58.7;99.56;2.28;4.6;80.4;medio
33;2023-02-02;A;5;502.5;22.1;12.43;0.794;54.9;94.04;3;4.8;85.1;alto
34;2023-02-03;A;5;333.3;104;4.74;0.753;70.6;101.63;3.34;7.6;81.1;medio
35;2023-02-04;B;1;573.6;411;13.77;1.236;66;94.32;3.33;6.1;83.3;medio
36;2023-02-05;A;2;538.6;86.9;7.43;0.88;85.8;121.95;2.4;4;83.7;medio
37;2023-02-06;A;5;473.4;177.6;9.01;1.151;78.8;112.63;2.1;4.8;78.4;bajo
38;2023-02-07;B;4;511.8;277.5;13.72;0.941;74.2;102.9;2.43;4.3;89.8;alto
39;2023-02-08;B;2;513.4;176.2;5.34;0.969;68.1;105.94;1.81;12.7;80.4;medio
40;2023-02-09;B;2;522.1;84;11.2;0.796;93.4;124.23;3.13;8.1;83.1;medio
41;2023-02-10;B;3;664.1;163.6;11.88;0.787;79;121.19;1.57;2.5;76.5;bajo
42;2023-02-11;A;1;478.1;43.9;16.33;0.79;93.7;120.33;1.9;8.8;82.4;medio
43;2023-02-12;A;1;516.8;49.7;16.07;1.009;86.2;123.16;2.79;7.8;85.4;alto
44;2023-02-13;B;5;616.8;134.3;13.12;0.996;82.8;113.03;2.67;6.1;83.8;medio
45;2023-02-14;B;5;605.4;137;3.89;1.07;69.5;98.31;2.93;1.4;86.6;alto
46;2023-02-15;B;3;614.5;267.3;9.92;0.968;97.3;133.73;2.03;8.2;78.4;bajo
47;2023-02-16;B;2;442.3;26.5;6.37;0.733;82.1;104.28;1.7;4.6;76.1;bajo
48;2023-02-17;A;5;700.2;45.6;7.59;0.703;67.8;105.6;3;0.4;86.5;alto
49;2023-02-18;B;5;506.7;264.1;13.47;0.833;70.9;109.48;2.79;11;85.5;alto
50;2023-02-19;C;3;686.7;326.7;10.95;1.211;96;128.82;3.62;6.5;84.6;alto
51;2023-02-20;B;3;364.9;197.2;3.03;0.86;85.9;115.7;1.96;5.6;77.6;bajo
52;2023-02-21;A;1;502.1;84.7;8.86;1.059;63.5;96.19;1.58;3.1;90.7;alto
53;2023-02-22;A;4;625;108;6.51;1.065;54.5;96;2.91;2.6;83.4;medio
54;2023-02-23;B;2;428.5;98.1;6.43;1.295;87.6;120.61;3.31;1.1;87.8;alto
55;2023-02-24;A;1;424.7;84.9;5.57;0.815;68.5;99.1;2.42;4.7;85.1;alto
56;2023-02-25;B;2;406.1;274.9;7.96;1.152;70.1;101.22;2.93;15.3;77.1;bajo
57;2023-02-26;B;4;394.7;274.5;10.28;0.845;56.3;89.69;2.28;1.9;84.4;alto
58;2023-02-27;A;5;456.3;39.1;9.04;0.896;92.4;114.41;3.04;6.6;81.7;medio
59;2023-02-28;C;1;533.1;247.5;8.76;0.702;73.8;114.31;2.69;4.2;83.4;medio
60;2023-03-01;B;1;298.6;191.4;5.56;1.298;58.6;96.18;2.75;5;86.7;alto
61;2023-03-02;A;1;521.2;64.6;7.76;0.963;87.6;118.18;1.84;10;81.6;medio
62;2023-03-03;B;5;623.7;69.5;5.92;1.299;75.1;117.46;2.15;5.3;80.3;medio
63;2023-03-04;B;3;703.8;159.2;2.99;0.818;65.5;105.45;2.21;12.9;82.3;medio
64;2023-03-05;B;1;630.1;396.9;8.35;0.767;62.8;108.02;2.37;7.7;83.3;medio
65;2023-03-06;C;2;575.7;205;17.06;0.85;76.1;122.28;1.8;7.1;74.8;bajo
66;2023-03-07;A;2;327.3;287.2;3.7;1.108;87.9;117.96;2.82;4.5;83.2;medio
67;2023-03-08;C;1;439.8;118.1;13.13;1.046;73;109.46;2.05;4.9;86.1;alto
68;2023-03-09;C;2;464.8;126.8;12.22;0.95;67.9;117.65;2.65;14.6;68.6;bajo
69;2023-03-10;A;1;570.4;171.9;8.99;1.138;86.6;123.79;1.69;3.5;80;bajo
70;2023-03-11;A;5;489.4;62.6;4.74;1.045;85.7;129.49;2.04;13;80.4;medio
71;2023-03-12;A;2;374.1;46.4;3.72;1.047;87.5;122.98;3.55;13;82;medio
72;2023-03-13;A;3;668.4;171.8;15.81;1.054;78.1;114.14;2.78;7.2;79.3;bajo
73;2023-03-14;A;5;591.1;170.6;9.83;0.834;66.2;109.96;2.53;6.3;83.5;medio
74;2023-03-15;B;4;523.7;282.9;8.33;0.762;79.4;118.84;1.93;16.9;73.2;bajo
75;2023-03-16;A;5;621.8;171.6;8.56;1.142;70.5;105.35;2.16;7.6;77.4;bajo
76;2023-03-17;B;2;366.1;245.2;3.45;1.067;49.2;89.35;2.01;1.7;76.6;bajo
77;2023-03-18;B;1;566.1;89.3;13.09;1.271;78.5;110.78;2.73;7.1;84.5;alto
78;2023-03-19;A;4;447.7;290.8;16.48;1.276;84.1;123.9;3.52;2.2;86.7;alto
79;2023-03-20;B;2;568.4;446.2;7.51;1.147;79.2;110.7;3.29;3.3;85.7;alto
80;2023-03-21;B;5;493.9;66.7;4;0.961;77.2;112.6;2.59;5.5;87.3;alto
81;2023-03-22;B;1;563.3;40.2;6.32;0.805;75.7;104.29;2.29;5.5;78.3;bajo
82;2023-03-23;A;5;633.6;89;5.8;0.961;80.2;121.03;3.21;5.4;82.1;medio
83;2023-03-24;A;1;500.7;123.6;10.87;1.157;67.6;110.62;3.11;4.4;81.6;medio
84;2023-03-25;A;4;601.8;366.7;9.03;1.251;60.9;93.89;2.4;11.8;78.5;bajo
85;2023-03-26;B;3;381.2;165.1;4.83;1.244;76.4;105.2;3.4;5.5;90.8;alto
86;2023-03-27;A;1;427.8;119.8;6.91;1.189;67;107.42;2.73;6;85.8;alto
87;2023-03-28;C;1;651.9;459.8;15.88;0.82;80.7;113.63;2.11;4.8;79.1;bajo
88;2023-03-29;C;2;537.7;264.2;8.4;0.73;60.5;98;2.01;9.8;81;medio
89;2023-03-30;C;4;294.8;180.6;11.45;0.987;91.1;126.39;2.15;11.3;75.4;bajo
90;2023-03-31;B;2;363.6;167.4;12.46;1.054;89.1;126.41;2.72;6.1;79.5;bajo
91;2023-04-01;B;1;479.9;252.1;18.77;0.758;64.9;97.4;2.28;6.3;83.3;medio
92;2023-04-02;A;5;586.6;63.2;2.06;1.271;89.2;110.48;2.25;4.3;85.5;alto
93;2023-04-03;B;5;489.8;464.3;2.09;0.798;60.5;102.54;1.92;5.7;80.1;bajo
94;2023-04-04;A;1;562.4;310.4;10.91;1.253;71.6;100.92;3.22;7.1;77.2;bajo
95;2023-04-05;B;1;595.9;146.7;6.25;0.777;74.1;109.64;2.5;6.5;83.4;medio
96;2023-04-06;B;5;667.1;559.3;11.76;1.098;84.3;111.52;2.99;3.9;85.2;alto
97;2023-04-07;A;5;505.6;52.2;8.64;1.17;81.1;115.54;2.15;4;84.5;alto
98;2023-04-08;B;2;494.8;125.3;7.39;1.159;60;97.25;1.95;4.9;76.8;bajo
99;2023-04-09;A;2;324.7;152.4;6.52;1.104;67.9;111.4;1.84;3.9;85.2;alto
100;2023-04-10;A;5;509.9;279.1;15.8;0.769;73;107.92;2.73;4.8;83.9;medio
101;2023-04-11;A;1;442.8;272.1;2.59;1.211;80.6;111.69;2.37;6.5;76.5;bajo
102;2023-04-12;B;1;402.6;412.2;7.35;1.071;87.6;118.49;2.13;1.8;83.4;medio
103;2023-04-13;A;5;482;156.8;24.67;1.202;68.7;103.86;2.88;4.4;83.9;medio
104;2023-04-14;C;5;601.5;334;6.06;0.802;79.2;110.46;2.51;2.7;86.6;alto
105;2023-04-15;A;4;300.7;176.3;14.39;0.706;76.8;112.38;2.06;8.5;75;bajo
106;2023-04-16;C;5;457.3;26.7;8.83;0.894;72.7;106.4;1.62;2.3;84.9;alto
107;2023-04-17;C;5;511.7;132.2;8.4;0.862;74.3;108.22;2.97;11.8;80.1;bajo
108;2023-04-18;A;4;410.7;172.6;7.01;1.195;68.2;110.03;1.43;4.5;81.6;medio
109;2023-04-19;A;2;533.4;62;5.31;1.26;74.2;101.81;1.82;5;78.8;bajo
110;2023-04-20;B;5;541.1;153.3;7.13;0.777;90.8;120.16;2.99;7.6;81.1;medio
111;2023-04-21;C;1;496.7;370.2;5.46;1.248;50.9;93.82;3.02;11.1;79.7;bajo
112;2023-04-22;B;1;253.4;171.1;8.53;1.063;71.9;117.55;2.29;3.8;80.6;medio
113;2023-04-23;B;2;757.1;167.3;3.53;0.94;64.2;102.42;2.68;4.9;82.4;medio
114;2023-04-24;C;1;479.5;190.9;6.24;1.099;83.2;104.8;2.25;4.4;81.6;medio
115;2023-04-25;A;2;565.1;118.4;12.3;1.161;80.6;121.12;2.85;10.3;78.8;bajo
116;2023-04-26;B;5;527.4;185;2.99;1.013;51.8;91.01;2.74;10.4;80.7;medio
117;2023-04-27;A;1;602.5;169.9;12.05;0.937;74.3;109.01;3.16;2;89.9;alto
118;2023-04-28;C;3;581.8;237;5.95;1.279;101;129.55;2.86;10.5;80;bajo
119;2023-04-29;A;2;479;105.4;17.59;0.729;76.1;112.86;2.53;9.5;74.9;bajo
120;2023-04-30;A;2;537.8;158.2;7.48;0.792;87.9;126.5;2.09;1.1;82.2;medio
121;2023-05-01;A;5;405.5;302.4;12.3;1.118;77.8;112.96;2.55;8.1;83.7;medio
122;2023-05-02;B;4;585.7;93.6;9.21;1.137;88.8;113.79;2.28;2.7;79.2;bajo
123;2023-05-03;B;1;453.9;295.7;3.25;0.765;70.1;107.43;2.4;2.9;80.5;medio
124;2023-05-04;B;5;741.7;698.4;8.2;0.979;79.1;119.97;2.66;6.1;76.9;bajo
125;2023-05-05;B;2;334.9;420;7.56;1.085;74.1;117.34;2.64;10.9;82.6;medio
126;2023-05-06;C;5;453.6;146.5;8.36;0.938;79.5;112.16;1.64;10.3;77.2;bajo
127;2023-05-07;B;2;582.5;197.7;9.46;1.294;52.5;96.72;2.66;5.1;87;alto
128;2023-05-08;B;2;551;98.3;7.08;1.107;62.2;94.14;2.37;2.3;87.9;alto
129;2023-05-09;B;4;441.1;131.6;6.93;0.889;73.4;120.04;2.35;8.9;80.9;medio
130;2023-05-10;A;3;400.3;242.9;2.01;0.792;70.9;109.5;1.28;2;80.8;medio
131;2023-05-11;A;4;514.4;160.9;6.56;0.881;84.5;116.16;1.78;11.1;77.5;bajo
132;2023-05-12;C;3;498.6;136.9;12.96;0.757;72;113.48;2.61;2.5;85.5;alto
133;2023-05-13;A;3;321;202.7;13.35;0.716;74.9;108.22;2.78;9.4;84;medio
134;2023-05-14;A;3;503.5;90.2;13.34;0.886;85.2;114.22;2.72;11.6;79.4;bajo
135;2023-05-15;A;5;519;181.7;10.69;1.145;81.8;113.88;2.59;5.7;87;alto
136;2023-05-16;A;3;517.5;116.4;7.4;1.276;72.2;108.57;2.3;3.3;85.9;alto
137;2023-05-17;C;2;394.5;60;4.92;0.949;81.5;119.67;2.54;3.6;83.1;medio
138;2023-05-18;A;3;547.6;215.1;5.81;1.013;75.8;108.98;2.51;15.5;72.6;bajo
139;2023-05-19;C;1;637.9;113.2;5.8;0.741;79.6;113.84;2.62;0.7;83.9;medio
140;2023-05-20;A;5;545.6;187;10.85;1.078;83.3;121.81;2.66;5.3;78.3;bajo
141;2023-05-21;B;1;386.4;107.8;7.22;0.912;68.1;103.29;2.58;4.5;84.8;alto
142;2023-05-22;A;4;456.4;331.4;10.8;0.955;59.3;100.46;3.2;10.8;82.8;medio
143;2023-05-23;B;2;534.6;68.9;2.51;1.278;84.7;120.38;3;8.1;82.8;medio
144;2023-05-24;B;2;435.3;74.5;5.15;1.109;59.1;94.09;2.63;3.8;84.3;alto
145;2023-05-25;C;4;284.2;130.8;5.65;1.131;77;107.38;2.83;3.7;83.9;medio
146;2023-05-26;B;1;588.4;271.9;12.5;0.802;70.9;103.67;1.21;8.7;77;bajo
147;2023-05-27;B;4;417.1;139.7;3.55;0.822;82.5;107.05;2.38;4.8;79.7;bajo
148;2023-05-28;B;5;442.6;74.1;8.17;1.226;97.6;126.88;1.95;18.3;67.9;bajo
149;2023-05-29;B;5;650.4;149.1;5.97;1.203;68.4;112.14;3.14;5.5;83.6;medio
150;2023-05-30;A;3;422.6;164.9;15.98;1.132;73.8;112.35;2.51;9.6;80.4;medio
151;2023-05-31;C;5;584.6;29.4;9.49;0.869;77.7;108.08;2.16;5.7;93;alto
152;2023-06-01;A;5;373.9;374.1;12.87;0.826;66.6;101.1;2.71;2.7;89.1;alto
153;2023-06-02;B;3;464.5;53.2;5.05;0.996;70.9;110.38;3.41;1.1;88.2;alto
154;2023-06-03;B;1;492.6;179;13.51;1.013;62.1;107.2;2.22;0.3;81.8;medio
155;2023-06-04;B;3;383.1;255.6;9.24;0.832;58.3;95.09;2.3;3;79.2;bajo
156;2023-06-05;B;4;436.5;308.1;11.61;1.158;65.6;96.05;2.24;5.1;84;medio
157;2023-06-06;A;2;497.1;125.1;6.26;0.715;77.2;106.55;2.21;4.4;79.2;bajo
158;2023-06-07;B;5;567.1;33.9;15.8;1.127;74.9;115.16;2.95;2.8;87.1;alto
159;2023-06-08;A;1;334.9;378.5;4.28;1.205;65.4;99.21;2.13;5.3;82.6;medio
160;2023-06-09;B;4;465;319.4;6.07;1.258;70.3;114.78;2.46;7.5;79.1;bajo
161;2023-06-10;A;3;575.6;269.6;4.33;1.097;70;108.54;1.97;2.7;81.3;medio
162;2023-06-11;B;1;446.1;116.9;5.24;0.862;68.4;106.1;2.64;5.4;83.1;medio
163;2023-06-12;A;2;522.7;312.8;10.96;0.831;64.6;108.67;2.4;7.1;79.6;bajo
164;2023-06-13;B;3;549.2;155.1;6.44;1.221;78.2;104.02;1.86;5.8;81;medio
165;2023-06-14;B;3;526.8;187.1;8.41;0.715;80.5;119.64;2.18;8.4;78.7;bajo
166;2023-06-15;A;1;565.3;149.5;24.03;1.21;68.6;113.2;2.01;9.5;83.7;medio
167;2023-06-16;A;2;487.7;21.2;10.12;1.014;88.8;116.28;1.85;8.5;80.1;bajo
168;2023-06-17;B;1;458.6;84.4;7.95;0.961;85.1;116.68;2.07;3.7;81.4;medio
169;2023-06-18;A;2;235.7;227;11.78;1.259;69.6;107.68;1.42;15.3;74.2;bajo
170;2023-06-19;B;2;490.7;174.1;7.73;0.799;64.3;94.44;3.18;4;81.6;medio
171;2023-06-20;A;2;543;73.7;5.47;0.927;79.3;114.2;2.25;8.4;84.8;alto
172;2023-06-21;B;5;553.5;40.2;13.03;0.783;70.2;103.3;2.58;7.5;80.5;medio
173;2023-06-22;C;4;444.5;277.3;7.88;0.79;74.1;110.93;2.52;6.7;82.3;medio
174;2023-06-23;A;4;678;6.4;10.01;1.106;82.9;115;2.65;0.6;86.2;alto
175;2023-06-24;A;5;528.6;46.1;8.55;1.037;75.7;113.65;2.51;3.7;81.5;medio
176;2023-06-25;A;4;512.6;221.2;8.02;0.983;68.9;104.31;2.88;15.3;77.7;bajo
177;2023-06-26;B;1;627.2;235.9;8.71;1.187;67.9;101.78;3.03;5.3;90.7;alto
178;2023-06-27;A;2;428.2;138.4;3.69;1.277;78.2;114.22;2.17;1.9;81.9;medio
179;2023-06-28;C;1;455;827.7;9.43;1.009;78.4;115.59;1.75;10.2;77.1;bajo
180;2023-06-29;A;2;739.7;288.4;4.36;1.122;70.6;109.15;2.62;0.7;88.7;alto
181;2023-06-30;C;3;501.1;38.1;7.26;0.809;78.5;114.04;2.44;9.4;76.2;bajo
182;2023-07-01;B;2;663.4;583.8;7.38;0.913;65.8;99.05;2.1;7.4;80.7;medio
183;2023-07-02;A;3;356.1;242.4;6.33;0.73;92.8;117.6;2.55;3.1;86.6;alto
184;2023-07-03;B;1;480.9;176.5;3.59;0.792;60.8;106.62;2.96;2.5;86.1;alto
185;2023-07-04;A;4;537.8;1.4;17.84;0.76;91.4;125.28;2.53;10.5;82.3;medio
186;2023-07-05;A;2;530;251.9;6.83;0.868;76.2;105.51;1.89;3.3;80.2;medio
187;2023-07-06;B;3;399.4;278;3.04;0.932;75;103.41;2.66;2.4;86.8;alto
188;2023-07-07;A;5;501.9;64.8;4.5;1.08;61.7;97.65;1.93;3.3;85.1;alto
189;2023-07-08;C;5;392.3;397.6;11.38;1.124;82.8;114.75;2.64;8.1;75;bajo
190;2023-07-09;C;3;571.3;136.9;10.43;0.896;87.9;120.76;2.6;6.7;83.9;medio
191;2023-07-10;B;2;608.5;168;5.59;1.279;64.8;107.29;3.26;12.8;79.1;bajo
192;2023-07-11;B;5;277.5;130.2;9.19;1.118;82;107.97;2.4;5.1;81.2;medio
193;2023-07-12;C;4;623.6;135.6;12.06;0.797;88.3;128.24;2.87;6.1;83;medio
194;2023-07-13;A;2;375.9;71.1;9.03;0.921;92.2;126.02;2.94;2.1;84.1;medio
195;2023-07-14;C;1;545.5;187.3;5.34;0.881;66.4;102.72;2.4;2.9;84.9;alto
196;2023-07-15;A;4;566;78.8;10.58;0.975;64.9;103.45;1.77;3.3;86.8;alto
197;2023-07-16;A;1;480;387.6;5.42;1.194;72.8;103.96;2.48;5.8;83.1;medio
198;2023-07-17;A;4;435.5;200;7.15;0.84;76.6;116.8;2.65;5.9;78.1;bajo
199;2023-07-18;B;5;516.5;97.8;10.79;0.941;66.3;106.94;2.7;6.8;84.7;alto
200;2023-07-19;A;4;543.9;117.8;4.45;1.283;67.7;97.14;2.59;3.6;83.9;medio
