"Idade","Sexo","CodTempo","Tempo","CodEspazo","Espazo","DatoN","DatoT"
"0","Homes",1998,"1998","15","15 A Coruña",3010,"3.010"
"0","Homes",1998,"1998","27","27 Lugo",913,"913"
"0","Homes",1998,"1998","32","32 Ourense",897,"897"
"0","Homes",1998,"1998","36","36 Pontevedra",2921,"2.921"
"0","Homes",1999,"1999","15","15 A Coruña",3604,"3.604"
"0","Homes",1999,"1999","27","27 Lugo",945,"945"
"0","Homes",1999,"1999","32","32 Ourense",859,"859"
"0","Homes",1999,"1999","36","36 Pontevedra",2602,"2.602"
"0","Homes",2000,"2000","15","15 A Coruña",3127,"3.127"
"0","Homes",2000,"2000","27","27 Lugo",845,"845"
"0","Homes",2000,"2000","32","32 Ourense",890,"890"
"0","Homes",2000,"2000","36","36 Pontevedra",2988,"2.988"
"0","Homes",2001,"2001","15","15 A Coruña",2910,"2.910"
"0","Homes",2001,"2001","27","27 Lugo",906,"906"
"0","Homes",2001,"2001","32","32 Ourense",874,"874"
"0","Homes",2001,"2001","36","36 Pontevedra",3025,"3.025"
"0","Homes",2002,"2002","15","15 A Coruña",3733,"3.733"
"0","Homes",2002,"2002","27","27 Lugo",852,"852"
"0","Homes",2002,"2002","32","32 Ourense",857,"857"
"0","Homes",2002,"2002","36","36 Pontevedra",3454,"3.454"
"0","Homes",2003,"2003","15","15 A Coruña",3686,"3.686"
"0","Homes",2003,"2003","27","27 Lugo",923,"923"
"0","Homes",2003,"2003","32","32 Ourense",859,"859"
"0","Homes",2003,"2003","36","36 Pontevedra",3553,"3.553"
"0","Homes",2004,"2004","15","15 A Coruña",3968,"3.968"
"0","Homes",2004,"2004","27","27 Lugo",921,"921"
"0","Homes",2004,"2004","32","32 Ourense",1023,"1023"
"0","Homes",2004,"2004","36","36 Pontevedra",3825,"3.825"
"0","Homes",2005,"2005","15","15 A Coruña",4078,"4.078"
"0","Homes",2005,"2005","27","27 Lugo",980,"980"
"0","Homes",2005,"2005","32","32 Ourense",951,"951"
"0","Homes",2005,"2005","36","36 Pontevedra",3821,"3.821"
"0","Homes",2006,"2006","15","15 A Coruña",4090,"4.090"
"0","Homes",2006,"2006","27","27 Lugo",1030,"1.030"
